Key	ChangeSequence	Reason
HUDI-3066	243121	4个人修改了优先级，评论中未提到优先级，不清楚原因。
IGNITE-967	32312	2个人修改了优先级，评论中未提到优先级，不清楚原因。
IGNITE-10792	32432	1个人修改了优先级，没有评论所以不清楚原因。
IGNITE-884	32323	1个人修改了优先级，评论中未提到优先级，不清楚原因。
IMPALA-1904	313134	3个人修改了优先级，其中两个人改来改去，可能是未达成一致。
IMPALA-2029	323123	"4个人修改了优先级，似乎组阻止了版本。This blocks using more recent versions of hadoop, which is needed given the age of hadoop 2.6。"
IMPALA-1755	32121	"3个人修改了优先级，在评论中有提到，似乎是开发人员拿不准。I think it was marked as a blocker since it was a regression, but given that no one seemed to notice I would say downgrade the priority。Yeah, this perf regression is not a Blocker。"
IMPALA-1751	31234	3个人修改了优先级，评论中有提到，是开发人员拿不准还是有异议呢。OK. But should we keep it as a blocker?。It doesn't seem like this should actually be critical. Feel free to change back if you disagree.
IMPALA-2092	21343	4个人修改了优先级，评论未提到优先级，不清楚原因。
IMPALA-2982	212134	2个人修改了优先级，感觉是Bug太复杂了，也就是说优先级随着Bug修复进度在改变。Bringing this back to Blocker level as the excessive logging is a major supportability issue。Reduced priority as the estimated impact is not low. The known undesired behavior is that in rare circumstances one core becomes 100% used even when no queries are running.。
IMPALA-6227	212342	2个人修改了优先级，优先级应该是随着Bug的修复进度在变化。Downgraded to reflect the flaky it's not recurring as frequently. Keeping as critical since I still think it's somewhat flaky and need to invest time in stabilising it further。
IMPALA-3040	1234321213	"7个人修改了优先级，在修复Bug的过程中找到了合适的优先级，后续修改和版本有关，因为在后面的版本不会回归。Removed broken-build because this is not really blocking the builds. It's a flaky test that doesn't repro easily. Downgrading。Downgrading to ""Critical"", since these are not regressions from 2.8.0。"
IMPALA-3350	31343	"2个人分别来回改了两次，说明这两个人也不确定优先级。Should this be a blocker and have a ""crash"" label?。"
IMPALA-10	32321	2个人来回改，说明未达成一致。
IMPALA-2605	13213	3个人修改了优先级，评论中未提到优先级，不清楚原因。
IMPALA-1780	32123	2个人修改了优先级，前一个人一直调高，后一个人一直调低，后一个人提出了异议。This is not a blocker.。
IMPALA-7194	31212	"3个人修改了优先级，不可复现。Lowering priority to Critical, since this issue has been seen only once, and is not reproducible so far。Will bump back up to blocker at least until someone has had a chance to look at it。"
IMPALA-2973	32131	"3个人修改了优先级，似乎和版本有关。not sure if this is reproducible or serious enough to go into 2.5.0。Really, there are two issues being tracked here:
1) Time too high: this happens with code coverage, and not a blocker for the release.
2) Time too low: this looks like something may have changed recently. Are all the failures after Jim's change to use MONOTONIC_COARSE？。"
IMPALA-2710	32123	"2个人修改了优先级，未达成一致，先是一个人让解释为什么不是blocker，然后另一个人解释了。 can you please document why this is not considered a blocker.。This correctness issue is not tracked as a blocker as it's fairly old behavior (affects 2.0, related bug affects 1.3) and all three related issues were reported internally, not by users。"
IMPALA-2260	21212	3个人在来回改，似乎是未达成一致，评论里没提到。
IMPALA-1791	32323	2个人来回改，似乎是未达成一致，评论提到无法复现这个Bug。
IMPALA-3794	43432	3个人在来回改，似乎是未达成一致，评论里没提到。
IMPALA-976	31232	4个人修改了优先级，评论中未提到优先级，不清楚原因。
IMPALA-3809	34123	3个人修改了优先级，评论中未提到优先级，不清楚原因。
IMPALA-1652	32123	"3个人修改了优先级，有人提出异议。This will require a redesign and reimplementation of CHAR datatype; it is project, not a bug fix. It's not a blocker because, though less than useful, this is the currently defined semantics of CHAR. Definitely won't be done for 2.5。"
IMPALA-3259	32323	两个人前后分别修改2次，分别都是先修改然后又调回原来的优先级，可能的原因是开发者也不知道选什么优先级。
MESOS-9395	21234	2个人修改了优先级，评论中未提到优先级，不清楚原因。
MESOS-8416	323421	4个人修改了优先级，评论中未提到优先级，不清楚原因。
NETBEANS-6192	24313	"2个人修改了优先级，评论中未达成共识。While I realise this is frustrating for you, please don't change the bug priority.。"
NIFI-8128	13243	2个人修改了优先级，评论中未提到优先级，不清楚原因。
SOLR-8725	31313	2个人修改了优先级，两个人都是先改了一次，然后又改回去了，说明他们也不确定优先级。
SPARK-21549	21213	2个人修改了优先级，其中前一个人来回修改，说明他也不确定优先级。
SPARK-5426	14341	2个人修改了优先级，其中前一个人来回修改，说明他也不确定优先级。
SPARK-14959	23231	3个人修改了优先级，其中前二个人来回修改，可能是未达成一致。
SPARK-26836	42312	"3个人修改了优先级，有人评论，但仍不清楚原因。I am lowering the priority to Critical as it's at least not a regression and doesn't look blocking Spark 3.0; however, indeed we should treat correctness issues at least Critical+.。"
SPARK-26512	13234	2个人来回修改，说明未达成一致。Please avoid to set a blocker which is reserved for committers.。
SPARK-27282	31313	4个人修改优先级，未达成一致。Please do not use Blocker/Critical as they are reserved for committers. This bug has been already fixed I think: I am not able to reproduce on master。
THRIFT-3218	12323	"2个人修改了优先级，后一个人来回反复修改，这个是他个人原因，不确定哪个优先级。Open for 3 years without any updates, lowering the priority.。"
